"FON_FONDSID";"DATUM";"KOERS";"KOERS";"KOERS";"KOERS";"OMZET"
"3830";"2003-09-18";"3562.88000";"3623.61000";"3554.01000";"3612.02000";"0"
"3830";"2003-09-19";"3617.13000";"3629.59000";"3578.70000";"3578.70000";"0"
"3830";"2003-09-22";"3578.16000";"3578.16000";"3456.27000";"3456.27000";"0"
"3830";"2003-09-23";"3459.40000";"3483.77000";"3396.32000";"3411.02000";"0"
"3830";"2003-09-24";"3414.66000";"3450.94000";"3285.98000";"3307.34000";"0"
"3830";"2003-09-25";"3305.54000";"3361.83000";"3301.39000";"3326.27000";"0"
"3830";"2003-09-26";"3325.76000";"3345.14000";"3275.54000";"3324.85000";"0"
"3830";"2003-09-29";"3324.00000";"3364.58000";"3280.10000";"3323.38000";"0"
"3830";"2003-09-30";"3317.59000";"3330.22000";"3202.87000";"3256.78000";"0"
"3830";"2003-10-01";"3255.76000";"3329.83000";"3217.40000";"3329.83000";"0"
"3830";"2003-10-02";"3330.94000";"3354.64000";"3267.99000";"3276.64000";"0"
"3830";"2003-10-03";"3283.38000";"3439.89000";"3283.38000";"3419.00000";"0"
"3830";"2003-10-06";"3414.06000";"3416.75000";"3379.53000";"3404.91000";"0"
"3830";"2003-10-07";"3407.72000";"3409.22000";"3332.82000";"3355.78000";"0"
"3830";"2003-10-08";"3357.70000";"3432.09000";"3342.91000";"3395.33000";"0"
"3830";"2003-10-09";"3395.03000";"3491.20000";"3389.14000";"3481.90000";"0"
"3830";"2003-10-10";"3479.22000";"3512.21000";"3455.96000";"3471.25000";"0"
"3830";"2003-10-13";"3480.13000";"3554.53000";"3480.13000";"3538.39000";"0"
"3830";"2003-10-14";"3543.17000";"3567.12000";"3504.46000";"3538.13000";"0"
"3830";"2003-10-15";"3542.25000";"3606.00000";"3540.84000";"3570.58000";"0"
"3830";"2003-10-16";"3568.72000";"3594.96000";"3524.10000";"3577.72000";"0"
